Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
login ,100,522,492,628,832,859,288,1092,0.000%,.10395,0.13,0.05
get appointment,100,156,187,363,398,428,6,449,50.000%,.10406,0.13,0.04
get messages,100,155,135,401,407,459,5,625,50.000%,.10409,0.10,0.05
JS Bundle,100,2,3,4,4,8,1,8,100.000%,.10411,0.27,0.00
CSS Bundle,100,2,2,4,4,10,1,14,100.000%,.10410,0.27,0.00
HTTP Request,100,2,2,4,4,11,1,18,100.000%,.10410,0.27,0.00
TOTAL,600,140,7,481,525,809,1,1092,66.667%,.62265,1.15,0.14
