Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
login ,50,518,485,579,785,1022,308,1022,0.000%,.84634,1.04,0.43
get appointment,50,26,9,15,153,380,7,380,0.000%,.86130,1.24,0.36
get messages,50,160,143,256,304,359,98,359,0.000%,.86472,0.84,0.38
JS Bundle,50,2,2,3,3,7,1,7,100.000%,.86717,2.23,0.00
CSS Bundle,50,2,2,3,3,3,1,3,100.000%,.86723,2.23,0.00
HTTP Request,50,2,2,3,3,6,1,6,100.000%,.86712,2.23,0.00
TOTAL,300,118,7,467,522,785,1,1022,50.000%,4.93527,9.33,1.13
