Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
login ,10,672,570,849,849,1022,369,1022,0.000%,.36680,0.45,0.19
get appointment,10,86,11,187,187,370,5,370,0.000%,.38108,0.55,0.16
get messages,10,217,178,371,371,372,98,372,0.000%,.38333,0.37,0.17
JS Bundle,10,2,2,3,3,7,2,7,100.000%,.38606,0.99,0.00
CSS Bundle,10,2,2,3,3,3,1,3,100.000%,.38610,0.99,0.00
HTTP Request,10,2,2,3,3,3,1,3,100.000%,.38616,0.99,0.00
TOTAL,60,163,5,545,783,849,1,1022,50.000%,2.06733,3.91,0.47
